source_id,z,m1_Msun,m2_Msun,total_mass_Msun,chirp_mass_Msun,q,DL_Mpc,t_c_yr,f_gw_start_hz,f_gw_isco_hz,Lambda,Beta,iota,psi_rad,var_phi,phi_c,eccentricity,engine,score_proxy,signal_rss,signal_max,catalog_kind,population_model,population_weight,observer_rate_weight_proxy,original_row_number,original_m1_Msun,original_m2_Msun,spin1,spin2,spin_angle_alpha,spin_angle_beta,spin_angle_gamma,spin_plane_psi,final_spin,final_mass_Msun,kick_velocity_km_s,escape_velocity_halo_km_s,escape_velocity_baryon_km_s,cluster_mass_Msun,disk_stars_mass_Msun,disk_gas_mass_Msun,bulge_stars_mass_Msun,bulge_gas_mass_Msun,nuclear_star_cluster_mass_Msun,reservoir_mass_Msun,final_halo_mass_Msun
Q3d_K16_100_stratifiedtc_0001,4.69256,409589.0,195206.0,604795.0,242875.23273260015,0.47658994748394123,43882.97548551293,0.02556848824228601,0.000133691829056481,0.0012771967255557762,1.7286747357337233,-0.2915682210058583,1.1813484143401836,2.9224637015794888,5.572850177342807,0.39593363180316477,0.0,bhb_EccFD,1022.33191880675,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,3.64807e-06,4.893086061181823,24722,409589.0,195206.0,0.998,0.998,0.130101,0.0532338,0.089397,2.26715,0.977935,553404.0,316899.0,339769.0,123971.0,124051000000.0,22173400.0,1612430000.0,193294000.0,548236000.0,355433.0,601136.0,5011870000000.0
Q3d_K16_100_stratifiedtc_0002,1.74995,472713.0,151085.0,623798.0,225570.62418719707,0.3196125344553672,13457.020458049576,0.02609989195404666,0.0002189308359331486,0.0025633318267352864,3.275959479915029,0.4937027586748264,2.418662844702954,1.6246614613389891,2.6202671061390777,4.749458638489301,0.0,bhb_EccFD,1217.8709618758,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,3.64807e-06,11.762973970865414,24991,472713.0,151085.0,0.726724,0.949556,0.160607,0.119934,0.134889,1.36218,0.881848,589299.0,298827.0,519923.0,272410.0,514694000000.0,735939000.0,6860740000.0,4936540000.0,307.418,12499600.0,3494640.0,5011870000000.0
Q3d_K16_100_stratifiedtc_0003,1.44334,1478430.0,451287.0,1929717.0,687786.1549854464,0.30524745845254764,10626.811330627741,0.0466324460803782,9.446471757189598e-05,0.0009326014312181578,1.041243659392362,0.32195806641837255,1.2630593342016405,0.8307269061973815,0.8622786799397704,2.3224127306253277,0.0,bhb_EccFD,4636.308652556952,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,2.50532e-05,84.16587833063713,28070,1478430.0,451287.0,0.998,0.888399,0.116678,0.0358901,0.150895,0.268653,0.991811,1802550.0,293370.0,388002.0,211715.0,293507000000.0,16859.8,34131000.0,2056680000.0,0.0,1785390.0,13697800.0,630957000000.0
Q3d_K16_100_stratifiedtc_0004,2.07847,1306400.0,1300460.0,2606860.0,1134698.1858678893,0.9954531537048377,16597.86591041288,0.0520224539194513,5.739114923500382e-05,0.0005479248171503462,5.372368981865765,-0.5682165190698023,1.9568178146473207,2.1420681544190834,4.3479345319062865,3.528151640362546,0.0,bhb_EccFD,7208.913917583565,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,1.04721e-05,31.305528191522935,6322,1300460.0,1306400.0,0.998,0.998,0.137852,0.0867308,0.12975,4.95076,0.960251,2348970.0,81802.9,418515.0,211603.0,513250000000.0,48112.7,70022900.0,2621170000.0,9.95104,3758420.0,3413950.0,1584890000000.0
Q3d_K16_100_stratifiedtc_0005,2.65347,369697.0,305962.0,675659.0,292524.6964143809,0.8276020633113063,22302.68995339958,0.0550657085708921,0.0001177749759830749,0.0017813140512676119,5.051361748530545,0.2284415323974483,1.0283223186422266,1.4026579954974485,0.8346623669901571,3.6345337369247597,0.0,bhb_EccFD,1203.533659158496,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,1.04924e-07,0.2652255655583232,16334,369697.0,305962.0,0.998,0.998,0.205049,0.144753,0.0874467,2.13245,0.960914,609555.0,114885.0,495202.0,271201.0,5771540000000.0,1668820000.0,9095560000.0,4648340000.0,5340320.0,19604100.0,6.68722,251189000000000.0
Q3d_K16_100_stratifiedtc_0006,2.8841,212269.0,186363.0,398632.0,173074.59675351038,0.877956743565947,24650.745407667433,0.06618947888615673,0.0001468682247585801,0.0028399522893776605,2.597796669224408,1.4393858652776323,0.7758712990124498,2.9264554837581738,3.1338919147707682,2.6791891493231432,0.0,bhb_EccFD,582.5430954849289,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,1.58724e-05,37.31489127839085,36,212269.0,186363.0,0.2619,0.997989,0.129588,0.166629,0.0641594,5.49452,0.852928,369388.0,131298.0,235064.0,29278.4,57300900000.0,6422780.0,1566070000.0,38937600.0,19.0223,416.539,285.617,1000000000000.0
Q3d_K16_100_stratifiedtc_0007,0.685145,137048.0,31436.3,168484.3,54358.891066924196,0.22938167649290758,4258.182334829587,0.06980009164910438,0.000500365808558974,0.01548734208964523,3.3312455316743166,-0.930892631672783,1.9394461044736973,2.078485330738724,5.512066263655221,0.8015182208428075,0.0,bhb_EccFD,275.5162829444503,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,0.000101946,260.63619169924885,31683,137048.0,31436.3,0.844879,0.998,0.251713,0.133699,0.125569,3.62456,0.926069,160619.0,258497.0,195744.0,76531.0,40419000000.0,467.008,126888.0,103663000.0,5.30012,724913.0,80050.0,79432800000.0
Q3d_K16_100_stratifiedtc_0008,2.0925,186980.0,28959.7,215939.7,59331.73245461339,0.15488127072414162,16734.141275643324,0.08535741377231583,0.0003005817501861193,0.0065846304093655165,4.403412978029524,-0.2567519211208371,0.577060019921992,0.14910806155426978,1.5868183332226173,4.720833073680073,0.0,bhb_EccFD,158.8666989072109,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,1.95255e-05,58.15501115571807,31779,186980.0,28959.7,0.769225,0.628454,0.201114,0.134251,0.137436,1.6698,0.862863,209556.0,176051.0,400937.0,192817.0,392657000000.0,171134000.0,7758530000.0,1789450000.0,9.41938,7787970.0,933740.0,794328000000.0
Q3d_K16_100_stratifiedtc_0009,3.36604,155856.0,41734.7,197590.7,67418.51670652331,0.2677773072579817,29647.21322041038,0.0919098185968097,0.0002175822721155041,0.005097055884990928,1.1452474846037284,-0.29355770647825624,2.229508333404123,0.15778045904824767,0.46745300770668724,1.0134529571944326,0.0,bhb_EccFD,158.9314945542693,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,4.51491e-06,9.101938840032217,21286,155856.0,41734.7,0.513041,0.865856,0.045065,0.0698818,0.112841,0.153653,0.770153,189659.0,212755.0,316821.0,87783.2,107852000000.0,9487710.0,2267190000.0,450525000.0,8.93554,24084.0,119998.0,3981070000000.0
Q3d_K16_100_stratifiedtc_0010,3.7883,676551.0,417468.0,1094019.0,459990.92747473955,0.6170532598429387,34110.21813548719,0.1017696748540187,5.953022260196979e-05,0.0008393969531729307,4.90285896680396,-1.0245683968188641,1.238380184504773,2.9390012038789446,6.112355085953875,0.7716029445412353,0.0,bhb_EccFD,1666.57503377324,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,4.45584e-05,78.60452689619721,17042,676551.0,417468.0,0.60099,0.905459,0.0688972,0.154402,0.146141,5.82214,0.875862,1013610.0,189073.0,294512.0,35911.7,107565000000.0,15150300.0,2760050000.0,45618700.0,16378600.0,3201.0,90.7722,316228000000.0
Q3d_K16_100_stratifiedtc_0011,2.07522,722878.0,492534.0,1215412.0,517554.4296142471,0.6813514866962337,16566.321485552537,0.1060680774016585,7.181028312711335e-05,0.0011764511401015714,3.6834410640365594,0.0024328744369157824,0.9056381611323452,0.4048489394934768,3.0426700279693555,4.811409136511722,0.0,bhb_EccFD,2262.656921202504,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,4.51491e-06,13.50845516786425,21369,722878.0,492534.0,0.998,0.998,0.221053,0.154626,0.108381,4.30473,0.964544,1100330.0,239253.0,293761.0,95457.4,90610500000.0,20831.3,10274900.0,283167000.0,9.99715,350650.0,565164.0,3981070000000.0
Q3d_K16_100_stratifiedtc_0012,5.16667,352966.0,14962.7,367928.7,52540.35125201721,0.04239133514276163,49103.738139427245,0.1075272320458535,0.0001932043111567282,0.001938024356908656,5.917636531063208,-0.7019224921693749,1.253239799685916,1.181627439761157,5.571192989506092,3.3752770430209833,0.0,bhb_EccFD,104.0246158792759,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,1.52745e-06,1.7887736841663868,3352,352966.0,14962.7,0.843771,0.998,0.039927,0.171699,0.157808,0.228922,0.875121,365274.0,27351.7,335265.0,163942.0,51946500000.0,1988.41,37077100.0,451217000.0,874548000.0,189074.0,3412540.0,12589300000000.0
Q3d_K16_100_stratifiedtc_0013,1.89951,442410.0,174598.0,617008.0,236951.99018447343,0.39465201961980967,14874.47046226885,0.1080000909348138,0.0001205803070430154,0.0024578659853305633,2.336854385547946,0.03925769016791216,1.029977638230244,1.6189036953775862,3.761589490269292,0.2684371651386782,0.0,bhb_EccFD,877.7773349259511,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,1.28963e-05,40.29161342736998,3192,442410.0,174598.0,0.998,0.994313,0.0410265,0.16176,0.155991,0.257478,0.984906,569541.0,307374.0,253702.0,88504.2,49456500000.0,4430.27,2728750.0,150867000.0,4.86789,558136.0,562558.0,1258930000000.0
Q3d_K16_100_stratifiedtc_0014,2.17868,143021.0,62230.0,205251.0,80757.47105581613,0.4351109277658526,17574.725236546863,0.124027855650239,0.0002118180058455111,0.006739714723260074,1.2634211208534905,0.25195122335285136,1.6343073150030885,2.8106052756489976,0.395759850901496,5.943700977199412,0.0,bhb_EccFD,209.6376289405284,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,2.94317e-06,8.564393195270215,28361,143021.0,62230.0,0.801678,0.923601,0.155293,0.165961,0.0108374,0.171671,0.916566,190749.0,292836.0,251063.0,93781.4,31507200000.0,1530.96,875120.0,171147000.0,9.32581,408611.0,1015400.0,6309570000000.0
Q3d_K16_100_stratifiedtc_0015,1.37735,918264.0,779300.0,1697564.0,735932.7151010892,0.8486666143941176,10032.906245567985,0.1312566900688578,6.248826604105719e-05,0.0010895679610054708,0.9782757154755707,0.7855205077777784,1.7613286130738328,2.4453567316733125,3.7771192391711437,2.8965462681600007,0.0,bhb_EccFD,3987.104500147728,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,4.51491e-06,15.21153298870413,21536,779300.0,918264.0,0.998,0.917805,0.259428,0.0936197,0.17207,2.68703,0.94821,1536590.0,217168.0,459687.0,267071.0,271185000000.0,10617.8,32357800.0,4110810000.0,309253000.0,3886970.0,15790600.0,3981070000000.0
Q3d_K16_100_stratifiedtc_0016,2.83326,125652.0,76684.7,202336.7,84939.9389681434,0.6102943049056123,24130.556010334716,0.1328258415946578,0.000177938503322005,0.005669316009750669,4.209709894840144,0.6169967711677595,1.5586558625611195,0.0245378806714951,5.554441310544629,3.400331070902111,0.0,bhb_EccFD,202.0286661263387,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,2.50532e-05,59.854484056133565,28086,125652.0,76684.7,0.933503,0.936342,0.0775207,0.0559322,0.129453,0.290203,0.950661,184445.0,206347.0,411421.0,157727.0,260952000000.0,1202390000.0,6588220000.0,1336870000.0,12.0957,1531050.0,588776.0,630957000000.0
Q3d_K16_100_stratifiedtc_0017,0.427411,656361.0,459303.0,1115664.0,476473.2746779303,0.6997719242916627,2416.1918229871776,0.1501886114872388,0.0001072308926821018,0.002761157286708442,0.9973729017432083,1.2366576251000472,0.8707131179693753,0.9439762242311083,4.163547845770615,2.3667791037574766,0.0,bhb_EccFD,4913.540193496996,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,0.000101397,160.73605642504418,3163,656361.0,459303.0,0.730619,0.327849,0.530913,1.75305,2.08377,5.83815,0.679277,1069500.0,457620.0,230378.0,36349.4,119247000000.0,415040000.0,3060910000.0,48522000.0,11.298,60147.5,0.0,125893000000.0
Q3d_K16_100_stratifiedtc_0018,2.08585,215023.0,74961.8,289984.8,107626.67093938896,0.34862224041149087,16669.528587487457,0.1508538695598863,0.0001675552994912378,0.0049138688310984245,2.8220817107375105,0.4532369989942127,2.247648616422575,0.41763374565049105,3.4889481365318997,1.7381459244516348,0.0,bhb_EccFD,290.4067179105028,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,1.04721e-05,31.244947504585742,6275,215023.0,74961.8,0.998,0.998,0.298747,0.173844,0.161499,2.20163,0.98853,269229.0,352359.0,276367.0,86452.7,163479000000.0,1153.18,444697.0,209664000.0,5.7662,349532.0,448542.0,1584890000000.0
Q3d_K16_100_stratifiedtc_0019,3.72841,134017.0,98875.0,232892.0,99980.87171481451,0.7377795354320721,33472.88425667801,0.1532888377857952,0.0001335717327918332,0.003993042270761084,5.349345388202918,-0.7901018292103049,0.456946717962936,1.7276168702751782,4.90008806839834,3.016036254685709,0.0,bhb_EccFD,223.9597536140563,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,9.73587e-07,1.750021315844144,10790,134017.0,98875.0,0.743154,0.988099,0.213823,0.129714,0.0854517,2.9135,0.91819,212959.0,80727.5,228615.0,74459.5,23541700000.0,1600.1,3214580.0,124033000.0,4.06464,179049.0,492256.0,19952600000000.0
Q3d_K16_100_stratifiedtc_0020,1.05668,429479.0,139047.0,568526.0,206401.12861274552,0.32375738976760216,7240.796708594255,0.1564556551033523,0.0001417767668541295,0.003760594874021124,1.6785944899542276,1.2378557522859521,0.9737327168741825,1.1718751890588075,3.0990352567906077,3.6306723485330124,0.0,bhb_EccFD,900.3575525082028,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,2.95127e-05,95.93170347310812,24568,429479.0,139047.0,0.965379,0.968235,0.0647536,0.173534,0.137332,5.93226,0.978628,530684.0,368039.0,259178.0,116564.0,60637700000.0,2415.03,719281.0,399577000.0,9.70136,985465.0,1290600.0,501187000000.0
Q3d_K16_100_stratifiedtc_0021,4.68088,809709.0,245904.0,1055613.0,375626.1248406242,0.30369429017091326,43755.12593676368,0.1583763454302854,5.144107558842836e-05,0.0007332520060263231,2.375340289030985,0.6155548563131824,1.3962474839840209,1.9356962396846207,0.557022800132816,2.93417070426682,0.0,bhb_EccFD,1118.055677684204,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,2.94317e-06,3.9611203174910568,28282,809709.0,245904.0,0.998,0.789337,0.138685,0.024814,0.133743,4.60157,0.988227,986735.0,302145.0,352811.0,130343.0,115040000000.0,170047.0,12832400.0,608881000.0,9.07984,192682.0,2502870.0,6309570000000.0
Q3d_K16_100_stratifiedtc_0022,6.88161,409225.0,180019.0,589244.0,232439.1440809366,0.4399022542611033,68410.74646494663,0.1687169120226834,5.526038749006067e-05,0.0009468114365604555,3.902244274355412,-0.4689785002851796,2.315106405372423,0.9500566047703379,2.823491250267363,6.250555931754217,0.0,bhb_EccFD,581.6904975091733,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,9.73587e-07,0.730711878430244,10266,409225.0,180019.0,0.998,0.872095,0.116883,0.0301391,0.14687,6.19367,0.974004,541685.0,320839.0,314603.0,93754.6,39973800000.0,41.9614,126337.0,221915000.0,4.31732,153480.0,914959.0,19952600000000.0
Q3d_K16_100_stratifiedtc_0023,3.30657,436299.0,364186.0,800485.0,346731.93152540916,0.834716559056977,29024.69203018847,0.1692292738212322,6.272192596796775e-05,0.0012755247686916885,2.977390368704852,-1.016750656289932,1.3269666364676145,1.6276519885816783,3.17981483136564,3.958849418198716,0.0,bhb_EccFD,1061.013442226409,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,4.51491e-06,9.276181269804109,21272,436299.0,364186.0,0.931174,0.564073,0.117909,0.0560628,0.152167,0.758586,0.905771,733046.0,162788.0,365095.0,39580.6,729033000000.0,78101900.0,13638700000.0,75768500.0,19.6602,11007.5,0.0,3981070000000.0
Q3d_K16_100_stratifiedtc_0024,1.30794,403304.0,164906.0,568210.0,220201.1676640816,0.40888758851883444,9414.793878634116,0.1803417952884876,0.0001201191664996196,0.0033530514583734795,2.2591039953153262,0.15303158483577514,2.893103986037586,0.3599977864406749,3.0030155926040103,5.101615024960194,0.0,bhb_EccFD,836.8949424238415,,,K16_Q3d_100_stratifiedtc_from_500,Q3d,4.51491e-06,15.210789229831692,21661,403304.0,164906.0,0.987449,0.998,0.161162,0.0427234,0.12843,2.34328,0.980648,523590.0,285770.0,327265.0,159352.0,92437500000.0,4172.41,2440610.0,911311000.0,8.0192,3546600.0,3240060.0,3981070000000.0
