source_id,z,m1_Msun,m2_Msun,total_mass_Msun,chirp_mass_Msun,q,DL_Mpc,t_c_yr,f_gw_start_hz,f_gw_isco_hz,Lambda,Beta,iota,psi_rad,var_phi,phi_c,eccentricity,engine,score_proxy,signal_rss,signal_max,catalog_kind,population_model,population_weight,observer_rate_weight_proxy,original_row_number,original_m1_Msun,original_m2_Msun,spin1,spin2,spin_angle_alpha,spin_angle_beta,spin_angle_gamma,spin_plane_psi,final_spin,final_mass_Msun,kick_velocity_km_s,escape_velocity_halo_km_s,escape_velocity_baryon_km_s,cluster_mass_Msun,disk_stars_mass_Msun,disk_gas_mass_Msun,bulge_stars_mass_Msun,bulge_gas_mass_Msun,nuclear_star_cluster_mass_Msun,reservoir_mass_Msun,final_halo_mass_Msun
Q3nod_K16_100_stratifiedtc_0001,3.28849,74137.9,19293.2,93431.09999999999,31562.28488854393,0.2602339694002663,28835.748753312408,0.02872903593325642,0.0005468712849962286,0.010974323082463868,5.863970293003946,0.8442987481543051,1.2640367425711372,1.306127920283278,3.5806767582344006,2.4461836494659903,0.0,bhb_EccFD,82.75233227610178,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,0.000124521,257.3169309360263,149,74137.9,19293.2,0.0979335,0.995469,0.100401,0.076239,0.0547862,4.55952,0.567267,90859.0,141107.0,125877.0,9519.54,7702610000.0,248181.0,55254300.0,1484140.0,33.3439,8143.17,0.0685146,100000000000.0
Q3nod_K16_100_stratifiedtc_0002,3.12445,47920.9,32354.0,80274.9,34147.25624775123,0.6751542646319246,27128.397710298646,0.03840197812239405,0.0004784563019540263,0.013280908634587918,1.529097944481588,-0.13958219039314196,0.8355428437539053,0.30092172884525964,3.164489747390049,5.04526837082692,0.0,bhb_EccFD,85.96872193274213,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,2.40093e-05,52.28286720724735,83502,47920.9,32354.0,0.0980448,0.154751,0.0586756,0.10348,0.116885,5.75674,0.703458,76321.7,101934.0,210037.0,111269.0,27001800000.0,1.16288e-05,79.1106,7286800.0,854721000.0,26729.2,37.3945,630957000000.0
Q3nod_K16_100_stratifiedtc_0003,0.870826,33482.7,3102.71,36585.409999999996,7893.605339550609,0.09266606337003887,5708.5484991399235,0.03918277597162712,0.001944004804927713,0.06424395689127031,3.3514977956298293,0.2448062542959537,0.4276642421072768,2.9969348662148936,4.962036861826944,6.174175574763179,0.0,bhb_EccFD,24.2542139407693,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,0.000231989,695.6286473042293,51256,33482.7,3102.71,0.594586,0.200956,0.10886,0.0877085,0.152264,0.77952,0.705344,36075.4,81786.9,92769.2,3223.21,3037150000.0,104025.0,891167.0,49688.4,18.5019,1582.54,0.0562564,31622800000.0
Q3nod_K16_100_stratifiedtc_0004,4.61302,63164.0,3704.78,66868.78,11389.234868909614,0.0586533468431385,43013.09764289519,0.04548524561123564,0.0007356438732651093,0.011715305439714389,4.524748032648593,-0.26749883720087986,1.1438986763183605,0.7863637370352433,4.079838766862556,0.47142122959603244,0.0,bhb_EccFD,19.36405286063068,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,0.000101946,139.9646583158318,93249,63164.0,3704.78,0.402492,0.688212,0.0620914,0.0379784,0.100069,6.2776,0.513852,66427.9,36406.0,122053.0,6077.6,5848240000.0,850800.0,176973000.0,313741.0,3899.93,4836.15,0.0708481,79432800000.0
Q3nod_K16_100_stratifiedtc_0005,1.92153,118786.0,23867.2,142653.2,43720.36053737429,0.20092603505463608,15084.980880737061,0.07086681931431341,0.0004041812216038355,0.01055071123421521,4.948803535515332,0.1355011698169977,2.1102309622974116,0.9246049115259609,5.270327756005734,5.816044951065513,0.0,bhb_EccFD,117.3985678443231,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,0.000101946,316.8877381565619,93196,118786.0,23867.2,0.933077,0.26546,0.108182,0.0431009,0.074962,2.28414,0.956952,136387.0,234342.0,176233.0,76921.6,23498500000.0,2057.27,29.1919,6541520.0,347595000.0,44699.8,163.795,79432800000.0
Q3nod_K16_100_stratifiedtc_0006,1.82918,203712.0,23634.6,227346.6,54726.94794736245,0.11601967483506126,14205.183569854335,0.08572782147447407,0.0003336888826743045,0.006836354300547123,0.6803395514325047,0.15747469953707405,1.7262578020584567,2.7606462766299913,4.589188917430675,3.7013432259526766,0.0,bhb_EccFD,151.19960441782,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,0.000124521,395.13458933555853,170,203712.0,23634.6,0.998,0.193446,0.189729,0.0730167,0.161548,4.51559,0.998,221086.0,133266.0,186745.0,51177.0,47281300000.0,5.02832e-06,43.4645,44259500.0,67939100.0,103353.0,1.88642,100000000000.0
Q3nod_K16_100_stratifiedtc_0007,4.80674,54214.9,25206.5,79421.4,31724.239289228768,0.46493676092734654,45134.80149745985,0.087932740896981,0.0002965120248747714,0.009534626526774519,4.332155534148475,-0.3362753448937758,2.814549583794308,2.731690089426306,1.8700037884272431,5.824185393089109,0.0,bhb_EccFD,58.75651108308185,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,1.95255e-05,25.333968998152574,93868,54214.9,25206.5,0.764707,0.0960835,0.21807,0.134144,0.118153,2.08763,0.854713,74362.1,327128.0,121905.0,5939.13,3863310000.0,220546.0,60064500.0,435117.0,17.9725,3608.69,0.0784,794328000000.0
Q3nod_K16_100_stratifiedtc_0008,0.839492,1458090.0,108297.0,1566387.0,302037.342568291,0.07427319301277699,5457.689133887679,0.09229357368798381,0.0001460537289859196,0.001526077649346543,4.238038317305109,-1.1666062696089192,1.3735206203035268,2.033798661680317,0.1863982469242856,5.972538310459562,0.0,bhb_EccFD,1908.082776885834,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,1.28963e-05,37.8952346643229,9298,1458090.0,108297.0,0.971854,0.809479,0.0497634,0.165833,0.120816,6.1327,0.992776,1540720.0,67013.4,486276.0,352290.0,311654000000.0,2.67148e-05,248.429,2603520000.0,9425600000.0,1499390.0,510.228,1258930000000.0
Q3nod_K16_100_stratifiedtc_0009,0.535929,85049.0,1277.96,86326.96,6830.973394633972,0.015026161389316747,3164.0274568456475,0.1067646642556543,0.001652844995664533,0.03316316848753213,1.730684953253712,-1.1129161993858747,1.0858416592898334,0.7092216973673341,0.8880826783197981,3.653773221982177,0.0,bhb_EccFD,22.21624886320469,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,0.000153766,314.12005049497304,71891,85049.0,1277.96,0.658389,0.374759,2.52659,1.46389,1.81134,2.53132,0.645878,86240.7,6963.74,178215.0,17844.9,45567800000.0,48495600.0,1052840000.0,2857030.0,20.1219,47389.1,0.00861882,50118700000.0
Q3nod_K16_100_stratifiedtc_0010,2.18488,208918.0,98185.9,307103.9,122958.32111721982,0.4699733866875999,17635.42641998423,0.1131958138418812,0.0001683479285158248,0.004495678024636829,0.5009399709157845,0.9544601195672048,2.08204132538497,2.2905360837306965,5.278294714763396,4.026577934912065,0.0,bhb_EccFD,362.3855592425761,,,K16_Q3nod_100_stratifiedtc_from_500,Q3nod,1.28963e-05,37.46307275122539,9615,208918.0,98185.9,0.0098374,0.682472,0.0414908,0.0893785,0.0656677,0.448594,0.664667,294102.0,104207.0,278942.0,27037.4,106637000000.0,59721300.0,7071840000.0,14039900.0,61.8484,68031.7,10050.4,1258930000000.0
