source_id,z,m1_Msun,m2_Msun,total_mass_Msun,chirp_mass_Msun,q,DL_Mpc,t_c_yr,f_gw_start_hz,f_gw_isco_hz,Lambda,Beta,iota,psi_rad,var_phi,phi_c,eccentricity,engine,score_proxy,signal_rss,signal_max,catalog_kind,population_model,population_weight,observer_rate_weight_proxy,original_row_number,original_m1_Msun,original_m2_Msun,spin1,spin2,spin_angle_alpha,spin_angle_beta,spin_angle_gamma,spin_plane_psi,final_spin,final_mass_Msun,kick_velocity_km_s,escape_velocity_halo_km_s,escape_velocity_baryon_km_s,cluster_mass_Msun,disk_stars_mass_Msun,disk_gas_mass_Msun,bulge_stars_mass_Msun,bulge_gas_mass_Msun,nuclear_star_cluster_mass_Msun,reservoir_mass_Msun,final_halo_mass_Msun
popIII_K16_100_uniformtc_0001,1.31289,889343.0,807040.0,1696383.0,737350.2446257217,0.9074564032100101,9458.642929856323,0.01998596257152844,0.0001286059709342161,0.0011207137886949312,4.8616659458557985,0.20187545701521475,1.4783320120681827,2.808275660034708,2.010298437013359,3.7080702281459392,0.0,bhb_EccFD,6557.323392480457,,,K16_popIII_100_uniformtc_from_500,popIII,2.37028e-06,7.986448597109333,660153,889343.0,807040.0,0.998,0.998,0.236658,0.109982,0.144498,3.9001,0.959596,1529220.0,237025.0,747576.0,556037.0,1712120000000.0,32219.2,250823000.0,30536000000.0,10868100000.0,59384500.0,71085400.0,7943280000000.0
popIII_K16_100_uniformtc_0002,7.49211,7202.32,946.946,8149.266,2079.9594943997035,0.1314779126725833,75412.50715183927,0.02967612624257253,0.001929097948025244,0.063538871983998,0.4680707492431332,-0.05349854000121167,1.915051596498141,1.094435146941491,4.919027518078222,0.08847156784449357,0.0,bhb_EccFD,2.461748153028708,,,K16_popIII_100_uniformtc_from_500,popIII,1.95905e-07,0.12749091265099569,156324,7202.32,946.946,0.997156,0.998,0.169997,0.0328365,0.154124,4.29815,0.998,7890.38,147276.0,282555.0,75907.8,27349300000.0,19215800.0,1877280000.0,66463300.0,8.65087,628293.0,287733.0,158489000000000.0
popIII_K16_100_uniformtc_0003,3.6176,90235.0,64454.7,154689.7,66204.19191755442,0.7142982213110212,32297.33594033185,0.03936628991361663,0.0002920389186498439,0.006155961551894442,0.07963299333646734,-0.15513962799570022,1.85236819697265,1.670655324199964,4.850301152742905,5.078387021581276,0.0,bhb_EccFD,189.0732622728947,,,K16_popIII_100_uniformtc_from_500,popIII,2.94317e-06,5.4781490404475095,581412,90235.0,64454.7,0.995961,0.998,0.0485795,0.0460139,0.0480571,1.08486,0.96459,139824.0,153658.0,681786.0,466105.0,519342000000.0,275504000.0,7833430000.0,17112400000.0,1106.74,90174600.0,50934600.0,6309570000000.0
popIII_K16_100_uniformtc_0004,2.27363,103509.0,59509.7,163018.7,67809.73375312732,0.5749229535595938,18507.563501071138,0.04905645358466071,0.0003284459891905904,0.00823960870633486,1.9022587461376692,-0.153044919977464,1.0749598112270198,1.5463446163935117,2.5132029789588946,5.978755765778149,0.0,bhb_EccFD,209.3290226196633,,,K16_popIII_100_uniformtc_from_500,popIII,2.61835e-07,0.7418610481421913,91301,103509.0,59509.7,0.998,0.998,0.210435,0.119961,0.0960574,3.59933,0.970024,148225.0,300604.0,222417.0,49249.0,5459110000000.0,910182.0,29080500.0,41706500.0,8.80263,315679.0,0.0166814,125893000000000.0
popIII_K16_100_uniformtc_0005,0.961158,145203.0,3472.24,148675.24,15385.211307599544,0.02391300455224754,6444.225609346762,0.05874661725570481,0.001068556359273441,0.015080730300934285,5.666069087465258,-0.0907667029200367,2.415437750084923,2.5769577271037103,4.499916071810334,2.8151436328028625,0.0,bhb_EccFD,47.43012849146547,,,K16_popIII_100_uniformtc_from_500,popIII,1.58724e-05,49.871932632397176,1222,145203.0,3472.24,0.998,0.998,0.273798,0.15129,0.150078,4.00087,0.998,147898.0,9726.63,217723.0,54009.2,749710000000.0,10627100.0,880112000.0,48682800.0,4.20297,391016.0,0.0214801,1000000000000.0
popIII_K16_100_uniformtc_0006,2.45671,602914.0,58049.1,660963.1,145343.3187804888,0.09628089578281479,20324.761067269286,0.06843678092674889,0.0001739927636679591,0.0019245688167775878,0.7924247836935193,-0.8067331750999782,2.385360955136228,1.8582537725574226,1.5966302986687337,0.9871501769911817,0.0,bhb_EccFD,486.8838545957659,,,K16_popIII_100_uniformtc_from_500,popIII,1.22139e-06,3.2792445774532375,145033,602914.0,58049.1,0.998,0.998,0.247866,0.126373,0.144842,2.30583,0.998,645944.0,98627.3,370503.0,162240.0,118273000000.0,191356.0,28583800.0,1063460000.0,7.13814,3627080.0,2224310.0,15848900000000.0
popIII_K16_100_uniformtc_0007,0.920677,627490.0,14088.7,641578.7,64037.836488609195,0.022452469362061547,6112.319374460152,0.07812694459779299,0.0003989733215776972,0.003568365504254752,5.466453417102017,0.1375085928593347,2.1830639959635088,1.330388594075277,3.1567086965824913,0.8334348681629221,0.0,bhb_EccFD,269.7169108347807,,,K16_popIII_100_uniformtc_from_500,popIII,0.000101397,312.606855671474,69246,627490.0,14088.7,0.998,0.998,1.64907,1.14022,2.75799,5.85123,0.982227,640226.0,12970.6,246064.0,113138.0,102766000000.0,10943400.0,759888000.0,408047000.0,15.3763,1745750.0,0.0318691,125893000000.0
popIII_K16_100_uniformtc_0008,2.88755,135144.0,95653.0,230797.0,98685.00941019067,0.707785769253537,24686.09648786867,0.08781710826883707,0.0001875553165513895,0.00490080540200554,4.765361203161154,-0.10485703562342863,1.6648022873880775,2.950916027174718,2.34072271453624,2.4538291359419477,0.0,bhb_EccFD,268.8514946421534,,,K16_popIII_100_uniformtc_from_500,popIII,2.26034e-07,0.5308086558086779,685545,135144.0,95653.0,0.998,0.998,0.00702489,0.111136,0.107459,0.05489,0.964961,208712.0,178805.0,390880.0,131598.0,146894000000.0,1133500000.0,8831580000.0,329980000.0,150426000.0,3716390.0,519450.0,79432800000000.0
popIII_K16_100_uniformtc_0009,5.12874,13189.3,436.056,13625.356,1694.2942476373814,0.03306134518132122,48683.91774057536,0.09750727193988117,0.00172112391697567,0.05265681046791992,2.4832597521452513,-0.49441663765479593,2.1417223547823783,0.8403305152890509,3.4769722447357925,5.578871504013096,0.0,bhb_EccFD,1.457994760022687,,,K16_popIII_100_uniformtc_from_500,popIII,0.000101397,120.01541422538165,69215,13189.3,436.056,0.998,0.915252,0.2197,0.172159,0.0587009,2.42183,0.998,13527.7,17979.4,133666.0,23422.0,7071400000.0,97.7482,289161.0,4313770.0,0.0,74500.0,12720.9,125893000000.0
popIII_K16_100_uniformtc_0010,3.12367,18264.2,619.761,18883.961,2382.7381577611536,0.033933104105298886,27120.309957382713,0.1071974356109253,0.001719419113458322,0.0564672460324203,3.5890533471739134,-0.615904135942504,1.6334227767186373,3.0158088266071044,3.4147338540333685,2.7477825025357525,0.0,bhb_EccFD,2.385394551926792,,,K16_popIII_100_uniformtc_from_500,popIII,1.95255e-05,42.52949926819103,652208,18264.2,619.761,0.997926,0.722743,0.177562,0.108526,0.151912,1.47247,0.998,18741.7,18540.6,251362.0,115188.0,59620000000.0,117.28,1951290.0,154107000.0,460354000.0,156272.0,697713.0,794328000000.0
