source_id,z,m1_Msun,m2_Msun,total_mass_Msun,chirp_mass_Msun,q,DL_Mpc,t_c_yr,f_gw_start_hz,f_gw_isco_hz,Lambda,Beta,iota,psi_rad,var_phi,phi_c,eccentricity,engine,score_proxy,signal_rss,signal_max,catalog_kind,population_model,population_weight,observer_rate_weight_proxy,original_row_number,original_m1_Msun,original_m2_Msun,spin1,spin2,spin_angle_alpha,spin_angle_beta,spin_angle_gamma,spin_plane_psi,final_spin,final_mass_Msun,kick_velocity_km_s,escape_velocity_halo_km_s,escape_velocity_baryon_km_s,cluster_mass_Msun,disk_stars_mass_Msun,disk_gas_mass_Msun,bulge_stars_mass_Msun,bulge_gas_mass_Msun,nuclear_star_cluster_mass_Msun,reservoir_mass_Msun,final_halo_mass_Msun
popIII_K16_0001,1.75,16684.4,16298.4,32982.8,14355.417743652988,0.9768646160485243,13457.490589401692,0.011681097588047366,0.0016553957581695337,0.04847897067876322,5.745843597747453,1.1350056340024208,1.3337902296580413,0.6432610732362414,0.9481003616404107,2.6353154718593004,0.0,bhb_EccFD,47.59390674260995,,,K16_popIII_weighted_sample,popIII,0.000124521,401.50635917367634,9,16684.4,16298.4,0.998,0.998,0.31357,0.15884,0.167973,2.57248,0.957977,29736.5,270677.0,240873.0,133023.0,58562300000.0,19655900.0,7681500.0,16234300.0,1166380000.0,281018.0,54359.6,100000000000.0
popIII_K16_0002,1.35036,46133.2,16199.9,62333.1,23183.11572530513,0.35115491663270704,9791.73125416154,0.009405833596405296,0.001467948044902415,0.030013765968454804,6.237430215259641,-0.23972086333989606,2.1199224732463793,2.890558378588183,2.0539196814384684,5.864832513108538,0.0,bhb_EccFD,103.30578025344367,,,K16_popIII_weighted_sample,popIII,0.000124521,419.69358132594954,16,46133.2,16199.9,0.997989,0.998,0.188563,0.111127,0.152987,1.56781,0.989755,57823.0,301625.0,207523.0,80767.4,52328200000.0,549.319,1374430.0,109584000.0,2727350.0,432355.0,481662.0,100000000000.0
popIII_K16_0003,0.36646,58038.5,40428.0,98466.5,42032.12642760217,0.6965721030005945,2016.3790838630005,0.006081225736068619,0.0016727958339276172,0.03268046150737422,4.145507760228415,0.7003210962561849,2.4359233287205004,1.8396046245624944,2.9252167698550515,3.997733723811541,0.0,bhb_EccFD,597.5215641664429,,,K16_popIII_weighted_sample,popIII,0.000124521,162.50888034030382,21,58038.5,40428.0,0.998,0.998,0.127021,0.0732946,0.0767816,2.01879,0.965138,89052.6,222295.0,218282.0,47847.8,87461900000.0,48294700.0,1340150000.0,42604400.0,17.9344,283930.0,8.16344,100000000000.0
popIII_K16_0004,0.402782,170550.0,5443.46,175993.46,21455.406633669707,0.031917091761946646,2252.7836059207684,0.30650489506206546,0.0005760135151753352,0.017810942076448056,4.5637851625015085,-1.0216065622855646,2.433185884174781,1.9556005162786911,5.336433366116012,4.043680540654622,0.0,bhb_EccFD,89.49124075657518,,,K16_popIII_weighted_sample,popIII,0.000124521,183.4846570740518,35,170550.0,5443.46,0.998,0.998,0.210176,0.0867408,0.123444,3.15997,0.998,174738.0,16878.5,243703.0,108560.0,93460100000.0,89825100.0,2184950000.0,84704800.0,13.3088,563146.0,0.0,100000000000.0
popIII_K16_0005,1.67085,26295.0,927.208,27222.208,3509.5023498387827,0.03526176079102491,12716.580014213434,0.08555025548885939,0.0019271195153377032,0.06047846493837612,4.555481873318695,-0.5154565221992603,2.443855893942787,2.9801942671775197,3.048365911853896,4.36443098149241,0.0,bhb_EccFD,5.074506701982183,,,K16_popIII_weighted_sample,popIII,0.000124521,407.21677195833263,39,26295.0,927.208,0.998,0.998,0.206798,0.0930928,0.14082,4.13509,0.998,27007.8,19715.9,217453.0,93610.6,55609700000.0,124.681,1075930.0,107017000.0,292209000.0,229326.0,278171.0,100000000000.0
popIII_K16_0006,4.28647,97406.6,1497.1,98903.70000000001,7929.777635149953,0.015369595078772894,39461.4773720099,0.04709454115042333,0.0009452470621465158,0.008409986418068787,4.673922822556709,-0.6851837560936836,1.469853397200071,2.5137506704491672,0.42591540793124444,5.624728419145005,0.0,bhb_EccFD,12.347191544781785,,,K16_popIII_weighted_sample,popIII,0.000124521,188.44506756800988,44,97406.6,1497.1,0.998,0.998,0.138492,0.0490044,0.151927,5.14837,0.998,98549.2,4292.96,226096.0,75151.0,36451400000.0,1725.97,8060330.0,74123300.0,32692800.0,325789.0,424945.0,100000000000.0
popIII_K16_0007,1.2188,56048.9,1902.24,57951.14,7312.8563977694475,0.033938935465281206,8631.55323915316,0.042558185325895025,0.001776966021742828,0.03419742961832212,5.437406773431106,-0.4465440774634355,1.34549809798103,2.3449315915579323,5.859923961781945,5.9455151129080965,0.0,bhb_EccFD,17.675530866006138,,,K16_popIII_weighted_sample,popIII,0.000124521,417.1990797170482,51,56048.9,1902.24,0.998,0.998,0.213005,0.142939,0.0707432,2.97265,0.998,57519.2,18788.2,240658.0,136566.0,51320000000.0,17878900.0,1087950000.0,564014000.0,27.5664,4439960.0,0.0,100000000000.0
popIII_K16_0008,0.125997,63464.1,536.878,64000.977999999996,3615.804309431577,0.008459554299202227,608.5163444847934,0.31372579625003616,0.001993567096698283,0.06101684691021869,2.0335212320404668,0.6679706398120843,1.8024974181424473,1.2045409889619336,0.6606515030451271,0.8400574600445929,0.0,bhb_EccFD,27.022067603370036,,,K16_popIII_weighted_sample,popIII,0.000124521,30.29181906842392,52,63464.1,536.878,0.998,0.99773,0.213556,0.1174,0.144548,4.38184,0.998,63873.6,1369.28,290510.0,189640.0,98121000000.0,248.091,431835.0,1412820000.0,262112000.0,7583390.0,1205440.0,100000000000.0
popIII_K16_0009,2.1061,24942.8,854.685,25797.485,3272.919307859775,0.0342658001507449,16866.394789975107,0.08978031820231185,0.001798928503712974,0.05487579223048906,4.174039083158292,-0.33377573780733794,2.6454649099833447,1.72680298178107,4.327720635236041,5.764843695991753,0.0,bhb_EccFD,4.183806208723605,,,K16_popIII_weighted_sample,popIII,0.000124521,369.5408391663031,64,24942.8,854.685,0.998,0.998,0.147365,0.0522132,0.150261,1.34135,0.998,25598.4,18859.4,209793.0,56183.7,59211600000.0,54146000.0,682135000.0,77607900.0,8.15068,259867.0,74875.8,100000000000.0
popIII_K16_0010,0.695492,72604.8,899.117,73503.917,5195.2545205587585,0.012383712922561593,4336.578850437079,0.4563093401232759,0.0010693987449209251,0.035283152131957894,2.76517820181482,-0.7849639651553912,0.9460019334068243,0.14411449669488677,1.9967572902676247,2.6287996960636706,0.0,bhb_EccFD,9.0597626988041,,,K16_popIII_weighted_sample,popIII,0.000124521,322.12258261244114,65,72604.8,899.117,0.998,0.998,0.206422,0.172726,0.150804,1.38258,0.998,73304.2,2843.89,239056.0,103887.0,86410200000.0,643728000.0,1541820000.0,77508600.0,29.8149,3691480.0,0.0423503,100000000000.0
popIII_K16_0011,2.86173,15249.2,4982.91,20232.11,7365.967979723268,0.32676533850956113,24421.68369942316,0.012933818738841559,0.0019555600945046123,0.05627953775608762,3.5912490167953663,0.9260292068612574,1.0343258936306916,0.10753823672094955,4.035178721626725,3.6820022849624103,0.0,bhb_EccFD,16.972978581557225,,,K16_popIII_weighted_sample,popIII,0.000124521,294.8235660983268,70,15249.2,4982.91,0.997892,0.998,0.108224,0.14128,0.0653424,5.45625,0.992752,18835.4,288657.0,176290.0,55650.3,38899300000.0,348.26,3620900.0,29736600.0,45120800.0,141911.0,190249.0,100000000000.0
popIII_K16_0012,0.607533,170730.0,18351.9,189081.9,43879.789257217664,0.10749077490774908,3680.2665698485835,0.13787149048701874,0.0004564128285585536,0.014466509301259263,1.455000670127231,0.12734096162415257,1.381602720102436,0.5340290151694765,1.303112900165176,0.9338234197373301,0.0,bhb_EccFD,193.96945045606356,,,K16_popIII_weighted_sample,popIII,0.000124521,287.30222173838024,101,170730.0,18351.9,0.998,0.998,0.312401,0.140618,0.172016,3.0643,0.998,184260.0,115816.0,219228.0,60513.8,85336200000.0,35238200.0,1477340000.0,75526500.0,11.3665,447129.0,0.00324033,100000000000.0
popIII_K16_0013,2.06863,30172.9,1867.8,32040.7,5616.012368009185,0.06190323104507687,16502.38611690196,0.02935903204069192,0.001966935073154919,0.044722604049068825,5.485906449224275,-0.9845599526330023,2.736498383028639,1.9876140066454318,4.410476359925667,5.425807743560592,0.0,bhb_EccFD,10.937907394513825,,,K16_popIII_weighted_sample,popIII,0.000124521,373.2036959068409,105,30172.9,1867.8,0.997943,0.998,0.0103051,0.0756101,0.0848814,6.22696,0.998,31585.1,51902.6,183278.0,47718.5,39018900000.0,361.589,1745780.0,23959100.0,7254140.0,262832.0,63529.2,100000000000.0
popIII_K16_0014,2.21158,20497.0,899.085,21396.085,3113.3487283344216,0.04386422403278529,17897.173826222683,0.07459848471962886,0.0019484340692532713,0.0639912429798362,4.1055604305316376,-0.12848801503969895,1.376080175802662,2.4399014102297114,5.005880800346722,0.13220076137077255,0.0,bhb_EccFD,4.04498463762157,,,K16_popIII_weighted_sample,popIII,0.000124521,359.0530348713663,125,20497.0,899.085,0.998,0.995167,0.163147,0.149861,0.0217201,4.10986,0.998,21188.5,28887.8,143902.0,39515.3,10267800000.0,125.413,136170.0,14964200.0,0.0,195906.0,50526.7,100000000000.0
